Time,Sales Rank,New Price,List Price
"7.9.2020, 16:49:00","","",""
"17.9.2020, 00:10:03","","","499.99"
"24.9.2020, 00:14:03","12","","499.99"
"24.9.2020, 04:14:03","11","","499.99"
"24.9.2020, 08:14:03","10","","499.99"
"24.9.2020, 20:15:05","11","","499.99"
"25.9.2020, 00:15:05","14","","499.99"
"25.9.2020, 04:16:03","17","","499.99"
"25.9.2020, 08:16:06","15","","499.99"
"25.9.2020, 12:17:03","12","","499.99"
"25.9.2020, 16:17:07","1","","499.99"
"26.9.2020, 00:18:07","2","","499.99"
"27.9.2020, 16:23:03","3","","499.99"
"27.9.2020, 20:24:02","5","","499.99"
"28.9.2020, 16:26:04","6","","499.99"
"29.9.2020, 00:27:03","9","","499.99"
"29.9.2020, 12:28:05","7","","499.99"
"29.9.2020, 16:29:04","8","","499.99"
"29.9.2020, 20:29:04","10","","499.99"
"30.9.2020, 00:29:05","13","","499.99"
"30.9.2020, 04:30:05","14","","499.99"
"30.9.2020, 08:30:06","13","","499.99"
"30.9.2020, 16:31:08","15","","499.99"
"30.9.2020, 20:32:06","16","","499.99"
"1.10.2020, 00:33:02","18","","499.99"
"1.10.2020, 04:33:02","21","","499.99"
"1.10.2020, 08:33:03","19","","499.99"
"1.10.2020, 16:34:02","21","","499.99"
"1.10.2020, 20:35:03","24","","499.99"
"2.10.2020, 00:36:02","32","","499.99"
"2.10.2020, 04:36:05","30","","499.99"
"2.10.2020, 08:36:06","27","","499.99"
"2.10.2020, 12:37:02","19","","499.99"
"2.10.2020, 16:37:02","22","","499.99"
"2.10.2020, 20:37:03","28","","499.99"
"3.10.2020, 00:38:03","37","","499.99"
"3.10.2020, 04:39:02","35","","499.99"
"3.10.2020, 08:39:04","24","","499.99"
"3.10.2020, 12:39:05","21","","499.99"
"3.10.2020, 16:40:02","23","","499.99"
"3.10.2020, 20:40:03","37","","499.99"
"4.10.2020, 00:40:06","47","","499.99"
"4.10.2020, 04:41:02","46","","499.99"
"4.10.2020, 08:41:05","31","","499.99"
"4.10.2020, 12:42:02","28","","499.99"
"4.10.2020, 20:42:06","43","","499.99"
"5.10.2020, 00:43:02","56","","499.99"
"5.10.2020, 04:43:08","62","","499.99"
"5.10.2020, 08:44:02","39","","499.99"
"5.10.2020, 12:44:05","35","","499.99"
"5.10.2020, 16:44:08","39","","499.99"
"5.10.2020, 20:45:06","47","","499.99"
"6.10.2020, 00:46:03","61","","499.99"
"6.10.2020, 04:47:03","74","","499.99"
"6.10.2020, 08:47:04","54","","499.99"
"6.10.2020, 12:47:06","45","","499.99"
"6.10.2020, 16:47:07","50","","499.99"
"6.10.2020, 20:48:26","55","","499.99"
"7.10.2020, 00:49:02","78","","499.99"
"7.10.2020, 04:49:04","77","","499.99"
"7.10.2020, 08:49:05","55","","499.99"
"7.10.2020, 12:50:02","52","","499.99"
"7.10.2020, 16:50:03","57","","499.99"
"7.10.2020, 20:50:03","70","","499.99"
"8.10.2020, 00:50:05","80","","499.99"
"8.10.2020, 04:51:04","87","","499.99"
"8.10.2020, 08:51:05","61","","499.99"
"8.10.2020, 12:52:02","55","","499.99"
"8.10.2020, 20:52:08","69","","499.99"
"9.10.2020, 04:53:06","85","","499.99"
"9.10.2020, 08:53:12","75","","499.99"
"9.10.2020, 12:54:03","64","","499.99"
"9.10.2020, 16:54:05","70","","499.99"
"9.10.2020, 20:55:02","80","","499.99"
"10.10.2020, 00:55:02","90","","499.99"
"10.10.2020, 04:55:03","97","","499.99"
"10.10.2020, 08:55:03","70","","499.99"
"10.10.2020, 12:56:03","66","","499.99"
"10.10.2020, 16:56:08","78","","499.99"
"10.10.2020, 20:57:03","86","","499.99"
"11.10.2020, 00:57:03","107","","499.99"
"11.10.2020, 04:57:07","102","","499.99"
"11.10.2020, 08:58:03","89","","499.99"
"11.10.2020, 12:58:04","75","","499.99"
"11.10.2020, 16:58:09","89","","499.99"
"11.10.2020, 20:59:02","106","","499.99"
"12.10.2020, 00:59:03","117","","499.99"
"12.10.2020, 04:59:07","122","","499.99"
"12.10.2020, 09:00:03","98","","499.99"
"12.10.2020, 13:01:02","89","","499.99"
"12.10.2020, 17:01:05","115","","499.99"
"12.10.2020, 21:02:04","128","","499.99"
"13.10.2020, 01:02:07","148","","499.99"
"13.10.2020, 05:03:02","164","","499.99"
"13.10.2020, 09:03:05","159","","499.99"
"13.10.2020, 17:04:02","295","","499.99"
"13.10.2020, 21:04:03","344","","499.99"
"14.10.2020, 01:04:05","393","","499.99"
"14.10.2020, 05:04:08","408","","499.99"
"14.10.2020, 09:05:04","397","","499.99"
"14.10.2020, 13:05:07","376","","499.99"
"14.10.2020, 17:06:05","431","","499.99"
"14.10.2020, 21:07:02","472","","499.99"
"15.10.2020, 01:07:03","546","","499.99"
"15.10.2020, 09:09:02","441","","499.99"
"15.10.2020, 13:09:04","396","","499.99"
"15.10.2020, 17:09:05","397","","499.99"
"15.10.2020, 21:09:08","384","","499.99"
"16.10.2020, 01:10:03","379","","499.99"
"16.10.2020, 05:10:05","369","","499.99"
"16.10.2020, 09:11:02","296","","499.99"
"16.10.2020, 13:11:02","280","","499.99"
"16.10.2020, 21:12:03","291","","499.99"
"17.10.2020, 01:12:04","314","","499.99"
"17.10.2020, 05:12:07","296","","499.99"
"17.10.2020, 09:13:02","275","","499.99"
"17.10.2020, 13:13:08","235","","499.99"
"17.10.2020, 17:14:03","251","","499.99"
"17.10.2020, 21:14:04","292","","499.99"
"18.10.2020, 01:14:06","302","","499.99"
"18.10.2020, 05:14:10","303","","499.99"
"18.10.2020, 09:15:03","263","","499.99"
"18.10.2020, 13:15:03","217","","499.99"
"18.10.2020, 17:15:17","249","","499.99"
"18.10.2020, 21:16:03","284","","499.99"
"19.10.2020, 01:16:04","327","","499.99"
"19.10.2020, 05:17:04","326","","499.99"
"19.10.2020, 09:18:02","294","","499.99"
"19.10.2020, 13:18:04","238","","499.99"
"19.10.2020, 17:19:02","279","","499.99"
"20.10.2020, 05:20:04","313","","499.99"
"20.10.2020, 09:21:02","272","","499.99"
"20.10.2020, 13:21:10","253","","499.99"
"20.10.2020, 17:22:03","294","","499.99"
"20.10.2020, 21:22:10","309","","499.99"
"21.10.2020, 05:23:08","332","","499.99"
"21.10.2020, 09:24:02","293","","499.99"
"21.10.2020, 13:24:04","271","","499.99"
"21.10.2020, 17:24:05","289","","499.99"
"21.10.2020, 21:24:06","309","","499.99"
"22.10.2020, 01:25:03","379","","499.99"
"22.10.2020, 05:25:04","361","","499.99"
"22.10.2020, 09:25:06","310","","499.99"
"22.10.2020, 13:25:09","284","","499.99"
"22.10.2020, 17:26:03","311","","499.99"
"22.10.2020, 21:26:04","339","","499.99"
"23.10.2020, 01:26:04","414","","499.99"
"23.10.2020, 05:26:08","399","","499.99"
"23.10.2020, 09:27:03","308","","499.99"
"23.10.2020, 13:27:08","296","","499.99"
"23.10.2020, 17:28:04","340","","499.99"
"23.10.2020, 21:29:02","435","","499.99"
"24.10.2020, 01:30:03","466","","499.99"
"24.10.2020, 05:31:04","426","","499.99"
"24.10.2020, 09:32:07","386","","499.99"
"24.10.2020, 13:33:07","328","","499.99"
"24.10.2020, 17:33:10","397","","499.99"
"24.10.2020, 21:33:14","440","","499.99"
"25.10.2020, 01:33:21","486","","499.99"
"25.10.2020, 04:34:10","478","","499.99"
"25.10.2020, 08:34:15","407","","499.99"
"25.10.2020, 12:35:03","361","","499.99"
"25.10.2020, 20:36:04","538","","499.99"
"26.10.2020, 00:36:09","586","","499.99"
"26.10.2020, 04:36:12","558","","499.99"
"26.10.2020, 08:37:19","485","","499.99"
"26.10.2020, 12:38:04","431","","499.99"
"26.10.2020, 16:38:05","484","","499.99"
"26.10.2020, 20:38:18","564","","499.99"
"27.10.2020, 00:39:03","630","","499.99"
"27.10.2020, 08:40:03","511","","499.99"
"27.10.2020, 12:40:09","486","","499.99"
"27.10.2020, 16:40:34","510","","499.99"
"27.10.2020, 20:41:03","608","","499.99"
"28.10.2020, 00:41:04","711","","499.99"
"28.10.2020, 04:41:19","691","","499.99"
"28.10.2020, 08:42:05","565","","499.99"
"28.10.2020, 12:43:03","534","","499.99"
"28.10.2020, 16:43:06","607","","499.99"
"28.10.2020, 20:44:13","656","","499.99"
"29.10.2020, 00:45:04","776","","499.99"
"29.10.2020, 04:45:10","798","","499.99"
"29.10.2020, 08:46:12","642","","499.99"
"29.10.2020, 12:47:07","598","","499.99"
"29.10.2020, 16:48:05","712","","499.99"
"29.10.2020, 20:48:15","822","","499.99"
"30.10.2020, 00:49:02","879","","499.99"
"30.10.2020, 04:49:14","815","","499.99"
"30.10.2020, 08:50:05","743","","499.99"
"30.10.2020, 12:50:10","694","","499.99"
"30.10.2020, 16:51:10","759","","499.99"
"30.10.2020, 20:51:19","864","","499.99"
"31.10.2020, 00:52:02","921","","499.99"
"31.10.2020, 04:52:07","903","","499.99"
"31.10.2020, 08:52:11","801","","499.99"
"31.10.2020, 12:53:03","700","","499.99"
"31.10.2020, 16:53:11","759","","499.99"
"31.10.2020, 20:54:02","871","","499.99"
"1.11.2020, 00:54:03","905","","499.99"
"1.11.2020, 04:55:04","869","","499.99"
"1.11.2020, 08:56:04","730","","499.99"
"1.11.2020, 12:57:09","677","","499.99"
"1.11.2020, 16:58:07","901","","499.99"
"1.11.2020, 20:58:08","1021","","499.99"
"2.11.2020, 00:58:14","1214","","499.99"
"2.11.2020, 04:59:08","1210","","499.99"
"2.11.2020, 08:59:09","955","","499.99"
"2.11.2020, 13:00:06","852","","499.99"
"2.11.2020, 17:01:05","964","","499.99"
